ProsperScore,LoanOriginalAmount,LP_CustomerPrincipalPayments,StatedMonthlyIncome,Completed,ProsperRating (Alpha),LoanStatus
9.0,6500,6500.0,4166.666667,1,AA,Completed
,2500,2500.0,2787.5,1,,Completed
,2000,77.45,2666.666667,0,,Defaulted
,3000,2999.98,0.083333,1,,Completed
10.0,13000,13000.0,5816.0,1,AA,Completed
,6001,6001.0,4250.0,1,,Completed
,12000,12000.0,3750.0,1,,Completed
9.0,1200,1200.0,4166.666667,1,A,Completed
,1000,999.99,6666.666667,1,,Completed
10.0,7000,7000.0,6833.333333,1,A,Completed
4.0,15000,15000.0,7500.0,1,D,Completed
,2800,2800.0,3333.333333,1,,Completed
7.0,3000,3000.0,6250.0,1,D,Completed
,7000,6999.99,4333.333333,1,,Completed
,1500,1500.0,12500.0,1,,Completed
7.0,7500,1478.96,7500.0,0,D,Defaulted
,2900,2900.01,3000.0,1,,Completed
8.0,15000,15000.0,3747.0,1,,Completed
9.0,4200,4199.99,1761.333333,1,A,Completed
,5000,5000.0,4166.666667,1,,Completed
6.0,5700,5700.0,4295.75,1,D,Completed
5.0,4000,3999.99,9011.666667,1,HR,Completed
7.0,15000,15000.0,4583.333333,1,D,Completed
7.0,7700,7700.0,6250.0,1,D,Completed
5.0,3400,3400.0,7083.333333,1,C,Completed
5.0,2000,2000.0,4333.333333,1,HR,Completed
5.0,4000,4000.0,4035.166667,1,HR,Completed
9.0,6000,5999.99,7916.666667,1,A,Completed
6.0,11300,11300.0,2333.333333,1,,Completed
,10000,10000.01,4333.333333,1,,Completed
,7200,785.33,2075.0,0,,Defaulted
1.0,2000,2000.0,5000.0,1,HR,Completed
5.0,3000,3000.01,2624.0,1,C,Completed
,1000,1000.0,4166.666667,1,,Completed
,7000,7000.0,4345.666667,1,,Completed
,2500,2500.0,3625.0,1,,Completed
1.0,7500,7500.0,8000.0,1,E,Completed
,7000,6999.99,3750.0,1,,Completed
,1000,1000.0,0.0,1,,Completed
,6000,6000.01,1500.0,1,,Completed
,3500,3500.0,1583.333333,1,,Completed
6.0,13000,13000.0,2083.333333,1,C,Completed
,5000,4999.98,3741.666667,1,,Completed
,1450,1449.98,48.333333,1,,Completed
7.0,8500,8500.0,5166.666667,1,,Completed
6.0,1500,1500.0,5083.333333,1,E,Completed
5.0,7000,7000.0,4333.333333,1,,Completed
,2000,1379.77,3583.333333,0,,Defaulted
4.0,2000,2000.0,4166.666667,1,HR,Completed
,9000,8999.99,2750.0,1,,Completed
9.0,11500,11499.99,7416.666667,1,A,Completed
,3001,3001.0,2908.333333,1,,Completed
,3000,3000.0,5000.0,1,,Completed
,1500,1500.0,4000.0,1,,Completed
10.0,10000,10000.0,6250.0,1,AA,Completed
5.0,6500,6500.0,3750.0,1,,Completed
6.0,3000,354.99,9041.666667,0,D,Defaulted
,3500,3499.97,2833.333333,1,,Completed
,2000,2000.0,6250.0,1,,Completed
,2550,148.54,3000.0,0,,Defaulted
9.0,9000,9000.0,3880.0,1,AA,Completed
6.0,2000,1965.85,2916.666667,1,HR,Completed
5.0,2500,2500.0,8750.0,1,HR,Completed
,1000,1000.0,1666.666667,1,,Completed
4.0,3000,3000.0,6666.666667,1,D,Completed
,3000,3000.0,5000.0,1,,Completed
,1000,1000.0,3500.0,1,,Completed
,15000,14999.79,8265.833333,1,,Completed
,15000,15000.0,2500.0,1,,Completed
6.0,4000,4000.0,4500.0,1,E,Completed
6.0,7000,7000.0,2333.333333,1,D,Completed
6.0,5000,5000.0,11666.666667,1,D,Completed
5.0,4000,4000.0,7250.0,1,HR,Completed
,3500,73.71,4333.333333,0,,Defaulted
6.0,12880,12880.0,9630.5,1,,Completed
,4000,783.38,2500.0,0,,Defaulted
,1900,1900.0,2916.666667,1,,Completed
4.0,9000,8999.99,4583.333333,1,D,Completed
,5000,5000.0,4576.0,1,,Completed
6.0,4000,4000.0,3750.0,1,,Completed
,5000,401.42,3083.333333,0,,Defaulted
2.0,4000,4003.48,750.0,1,HR,Completed
3.0,3000,3132.45,9000.0,1,HR,Completed
5.0,2500,2500.0,4583.333333,1,C,Completed
8.0,5000,5000.0,2916.666667,1,C,Completed
7.0,15000,1396.12,4875.0,0,C,Defaulted
,6000,5999.7,2400.0,1,,Completed
,1000,0.0,1541.666667,0,,Defaulted
,8000,7346.9,4083.333333,1,,Completed
,1250,1250.0,2800.0,1,,Completed
8.0,2000,2000.0,3833.333333,1,A,Completed
4.0,10000,10000.0,7166.666667,1,D,Completed
8.0,6000,6000.0,9166.666667,1,AA,Completed
8.0,15000,15000.0,8850.0,1,,Completed
9.0,2100,2100.01,2625.0,1,C,Completed
6.0,15000,1028.75,8298.083333,0,C,Defaulted
,5900,5900.0,5250.0,1,,Completed
6.0,5000,4999.97,5583.333333,1,E,Completed
,2550,2550.0,8333.333333,1,,Completed
9.0,7500,7500.0,6666.666667,1,,Completed
,15000,1798.51,2333.333333,0,,Defaulted
,6001,94.87,3220.833333,0,,Defaulted
9.0,7000,7000.0,4750.0,1,A,Completed
,7500,7500.0,4000.0,1,,Completed
2.0,4000,4000.0,5000.0,1,HR,Completed
,2300,2300.0,4166.666667,1,,Completed
5.0,4000,4000.0,3000.0,1,E,Completed
8.0,10000,10000.0,4876.333333,1,C,Completed
10.0,1600,1599.99,2166.666667,1,A,Completed
,1000,1000.01,3083.333333,1,,Completed
,5500,5500.0,2541.666667,1,,Completed
,6063,6063.0,987.583333,1,,Completed
,1000,1000.0,5400.0,1,,Completed
,1000,1000.0,1920.083333,1,,Completed
8.0,5000,5000.0,7833.333333,1,,Completed
,3000,3000.0,4166.666667,1,,Completed
6.0,10000,10000.0,10833.333333,1,D,Completed
,13500,13499.99,7013.083333,1,,Completed
2.0,5500,392.43,2916.666667,0,E,Defaulted
3.0,3500,3500.0,3302.666667,1,D,Completed
,11000,11000.0,2833.166667,1,,Completed
,1000,1000.0,1380.833333,1,,Completed
,1000,999.85,4166.666667,1,,Completed
4.0,5500,5499.99,1422.416667,1,HR,Completed
3.0,15000,15000.0,7750.0,1,D,Completed
,3000,235.21,644.25,0,,Defaulted
10.0,15000,15000.0,3541.666667,1,AA,Completed
10.0,15000,15000.0,2916.666667,1,AA,Completed
,5000,4999.97,7083.333333,1,,Completed
,3900,3899.99,7083.25,1,,Completed
8.0,2000,1999.81,833.333333,1,,Completed
,5000,5000.0,5416.666667,1,,Completed
5.0,4000,4000.0,5000.0,1,E,Completed
,13000,13000.02,4625.0,1,,Completed
,4000,4000.0,3330.166667,1,,Completed
6.0,5000,5000.0,7291.666667,1,D,Completed
,6001,3015.09,5000.0,0,,Defaulted
2.0,4000,4000.0,4333.333333,1,E,Completed
8.0,10000,10000.0,9583.333333,1,A,Completed
3.0,4000,4000.0,4050.0,1,HR,Completed
,5000,2568.81,6083.333333,0,,Defaulted
,3500,3500.0,10000.0,1,,Completed
6.0,3000,3000.0,3750.0,1,D,Completed
6.0,4000,4000.01,4583.333333,1,C,Completed
3.0,10000,9999.99,7500.0,1,E,Completed
3.0,4000,4000.0,583.333333,1,HR,Completed
8.0,15000,15000.0,8750.0,1,C,Completed
,3500,3500.0,8750.0,1,,Completed
1.0,4000,4000.0,833.333333,1,HR,Completed
7.0,3700,3700.0,3100.0,1,D,Completed
,5000,5000.0,8333.333333,1,,Completed
,1900,1899.98,2833.333333,1,,Completed
,3500,3500.0,2773.333333,1,,Completed
5.0,6300,6300.0,5000.0,1,HR,Completed
,10000,9999.98,11284.0,1,,Completed
2.0,3800,3800.0,3000.0,1,D,Completed
,5000,4999.98,5416.666667,1,,Completed
,1000,1000.0,6625.0,1,,Completed
7.0,13000,13000.0,4966.666667,1,C,Completed
,9000,9000.0,2500.0,1,,Completed
6.0,3000,120.89,3333.333333,0,C,Defaulted
,1000,1000.0,4900.0,1,,Completed
8.0,8500,8499.99,5250.0,1,A,Completed
,8000,2844.68,7079.166667,0,,Defaulted
,2200,2200.0,291.666667,1,,Completed
,5000,3037.1,2333.333333,0,,Defaulted
5.0,6000,6000.0,2916.666667,1,D,Completed
6.0,3500,3500.0,3291.666667,1,E,Completed
